"time","mean_Ch1_Ch2_Trial_1_modified","mean_Ch3_Ch4_Trial_1_modified","mean_Ch1_Ch2_Trial_2_modified","mean_Ch3_Ch4_Trial_2_modified","mean_Ch1_Ch2_Trial_3_modified","mean_Ch3_Ch4_Trial_3_modified","mean_Ch1_Ch2_Trial_4_modified","mean_Ch3_Ch4_Trial_4_modified","mean_Ch1_Ch2_Trial_5_modified","mean_Ch3_Ch4_Trial_5_modified","mean_Ch1_Ch2_Trial_6_modified","mean_Ch3_Ch4_Trial_6_modified","mean_Ch1_Ch2_Trial_7_modified","mean_Ch3_Ch4_Trial_7_modified","mean_Ch1_Ch2_Trial_8_modified","mean_Ch3_Ch4_Trial_8_modified","mean_Ch1_Ch2_Trial_9_modified","mean_Ch3_Ch4_Trial_9_modified","mean_Ch1_Ch2_Trial_10_modified","mean_Ch3_Ch4_Trial_10_modified"
16.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.7,NA,NA,NA,NA,NA,NA,NA,0.936666666666667,0.884666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622333333333333,NA
16.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA
16.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709666666666667,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273666666666667,NA,NA
17.15,NA,NA,NA,NA,NA,NA,3.20566666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965666666666667,NA,NA,NA,NA,NA,NA
17.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965666666666667,NA,NA,NA,NA,NA,NA
