"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
1,900;3,316;0,000;-0,006;0,006;1,900;2,985;0,000;-0,006;0,006;1,900;-5,149;-0,017;-0,006;0,006;1,900;2,409;0,000;-0,006;0,006;1,900;3,543;0,000;-0,006;0,006;1,900;1,309;0,000;-0,006;0,006;1,900;0,157;0,000;-0,006;0,006;1,900;2,950;0,000;-0,006;0,006;1,900;1,292;0,000;-0,006;0,006;1,900;2,618;0,000;-0,006;0,006
1,950;3,718;0,000;-0,005;0,006;1,950;3,683;0,000;-0,006;0,006;1,950;-4,835;-0,017;-0,006;0,006;1,950;3,421;0,000;-0,006;0,006;1,950;4,067;0,000;-0,006;0,006;1,950;0,175;0,000;-0,006;0,006;1,950;-0,873;0,000;-0,006;0,006;1,950;2,374;0,000;-0,006;0,006;1,950;0,349;0,000;-0,006;0,006;1,950;3,578;0,000;-0,006;0,006
2,000;3,927;0,000;-0,006;0,006;2,000;4,206;0,000;-0,006;0,006;2,000;-4,276;-0,017;-0,006;0,006;2,000;4,224;0,000;-0,006;0,006;2,000;4,363;0,000;-0,006;0,006;2,000;-0,960;0,000;-0,006;0,006;2,000;-1,868;0,000;-0,006;0,006;2,000;1,676;0,000;-0,006;0,006;2,000;-0,611;0,000;-0,006;0,006;2,000;4,311;0,000;-0,006;0,006
2,050;3,927;0,000;-0,006;0,006;2,050;4,503;0,000;-0,006;0,006;2,050;-3,543;-0,017;-0,006;0,006;2,050;4,765;0,000;-0,006;0,006;2,050;4,451;0,000;-0,006;0,006;2,050;-2,059;0,000;-0,006;0,006;2,050;-2,758;-0,017;-0,006;0,006;2,050;0,908;0,000;-0,006;0,006;2,050;-1,518;0,000;-0,006;0,006;2,050;4,800;0,000;-0,006;0,006
2,100;3,752;0,000;-0,006;0,006;2,100;4,573;0,000;-0,006;0,006;2,100;-2,635;-0,017;-0,006;0,006;2,100;5,044;0,000;-0,006;0,006;2,100;4,311;0,000;-0,006;0,006;2,100;-3,037;-0,017;-0,006;0,006;2,100;-3,526;-0,017;-0,006;0,006;2,100;0,087;0,000;-0,006;0,006;2,100;-2,356;-0,017;-0,006;0,006;2,100;5,009;0,000;-0,006;0,006
2,150;3,403;0,000;-0,006;0,006;2,150;4,416;0,000;-0,005;0,006;2,150;-1,606;-0,017;-0,006;0,006;2,150;5,044;0,000;-0,006;0,006;2,150;3,962;0,000;-0,006;0,006;2,150;-3,857;-0,017;-0,006;0,006;2,150;-4,102;-0,017;-0,006;0,006;2,150;-0,733;0,000;-0,006;0,006;2,150;-3,054;-0,017;-0,006;0,006;2,150;4,957;0,000;-0,006;0,006
2,200;2,897;0,000;-0,006;0,006;2,200;4,049;0,000;-0,006;0,006;2,200;-0,506;-0,017;-0,006;0,006;2,200;4,765;0,000;-0,006;0,006;2,200;3,438;0,000;-0,006;0,006;2,200;-4,485;-0,017;-0,006;0,006;2,200;-4,485;-0,017;-0,006;0,006;2,200;-1,501;0,000;-0,006;0,006;2,200;-3,613;-0,017;-0,006;0,006;2,200;4,625;0,000;-0,006;0,006
2,250;2,251;0,000;-0,006;0,006;2,250;3,508;0,000;-0,005;0,006;2,250;0,576;0,000;-0,006;0,006;2,250;4,259;0,000;-0,006;0,006;2,250;2,740;0,000;-0,006;0,006;2,250;-4,887;-0,017;-0,006;0,006;2,250;-4,643;-0,017;-0,006;0,006;2,250;-2,199;-0,017;-0,006;0,006;2,250;-3,979;-0,017;-0,006;0,006;2,250;4,084;0,000;-0,006;0,006
2,300;1,518;0,000;-0,006;0,006;2,300;2,793;0,000;-0,006;0,006;2,300;1,623;0,000;-0,006;0,006;2,300;3,560;0,000;-0,006;0,006;2,300;1,920;0,000;-0,006;0,006;2,300;-5,044;-0,017;-0,006;0,006;2,300;-4,573;-0,017;-0,006;0,006;2,300;-2,775;-0,017;-0,006;0,006;2,300;-4,154;-0,017;-0,006;0,006;2,300;3,368;0,000;-0,006;0,006
2,350;0,733;0,000;-0,006;0,006;2,350;1,955;0,000;-0,006;0,006;2,350;2,583;0,000;-0,006;0,006;2,350;2,705;0,000;-0,006;0,006;2,350;1,030;0,000;-0,006;0,006;2,350;-4,957;-0,017;-0,006;0,006;2,350;-4,294;-0,017;-0,006;0,006;2,350;-3,211;-0,017;-0,006;0,006;2,350;-4,119;-0,017;-0,006;0,006;2,350;2,496;0,000;-0,006;0,006
